Data,Valor,21,62,125,252
2017-01-04,61589,77,50,46,71
2017-01-05,62071,81,55,45,73
2017-01-06,61665,79,52,45,70
2017-01-09,61700,80,51,47,71
2017-01-10,62132,80,54,46,70
2017-01-11,62446,78,47,45,68
2017-01-12,63954,81,65,54,73
2017-01-13,63652,80,62,49,71
2017-01-16,63831,78,65,56,71
2017-01-17,64354,78,70,61,73
2017-01-18,64150,78,69,59,73
2017-01-19,63951,75,70,58,72
2017-01-20,64521,75,72,60,75
2017-01-23,65749,75,74,61,74
2017-01-24,65840,78,76,60,76
2017-01-26,66191,78,77,63,78
2017-01-27,66034,75,78,61,75
2017-01-30,64302,67,73,56,73
2017-01-31,64671,63,74,59,73
2017-02-01,64836,62,73,59,74
2017-02-02,64578,64,75,62,76
2017-02-03,64954,67,76,65,76
2017-02-06,63993,62,76,64,75
2017-02-07,64199,59,74,65,71
2017-02-08,64835,61,74,67,71
2017-02-09,64965,62,77,68,74
2017-02-10,66125,67,78,70,75
2017-02-13,66968,72,80,72,77
2017-02-14,66713,69,78,70,78
2017-02-15,67976,78,82,73,80
2017-02-16,67814,79,83,77,80
2017-02-17,67748,77,85,75,78
2017-02-20,68533,75,84,77,80
2017-02-21,69052,78,85,78,81
2017-02-22,68590,71,81,75,80
2017-02-23,67461,63,80,74,79
2017-02-24,66662,58,80,70,76
2017-03-01,66989,63,80,75,78
2017-03-02,65855,55,81,71,75
2017-03-03,66786,59,80,74,76
2017-03-06,66341,59,79,76,77
2017-03-07,65742,59,78,73,77
2017-03-08,64718,43,72,67,74
2017-03-09,64585,36,70,68,73
2017-03-10,64675,41,69,69,74
2017-03-13,65534,44,72,70,75
2017-03-14,64699,41,69,70,75
2017-03-15,66235,51,74,70,77
2017-03-16,65783,46,76,71,77
2017-03-17,64210,36,67,68,74
2017-03-20,64884,37,67,67,75
2017-03-21,62980,29,60,64,71
2017-03-22,63521,28,58,66,71
2017-03-23,63531,31,60,66,72
2017-03-24,63854,29,59,65,73
2017-03-27,64308,32,57,65,73
2017-03-28,64640,41,59,67,74
2017-03-29,65528,48,60,70,74
2017-03-30,65266,45,60,68,73
2017-03-31,64984,51,61,71,73
2017-04-03,65211,52,62,70,73
2017-04-04,65769,55,61,71,75
2017-04-05,64775,51,57,70,74
2017-04-06,64223,46,58,71,75
2017-04-07,64593,49,58,73,74
2017-04-10,64650,53,57,70,75
2017-04-11,64360,48,54,68,73
2017-04-12,63892,47,50,67,73
2017-04-13,62826,42,48,65,72
2017-04-17,64335,58,56,68,73
2017-04-18,64159,54,55,68,74
2017-04-19,63407,51,52,68,73
2017-04-20,63761,51,55,71,74
2017-04-24,64389,55,56,71,73
2017-04-25,65148,62,56,71,74
2017-04-26,64862,57,52,70,72
2017-04-27,64677,54,53,70,70
2017-04-28,65403,62,59,74,74
2017-05-02,66722,76,65,75,75
2017-05-03,66094,71,63,75,76
2017-05-04,64863,62,58,72,75
2017-05-05,65710,67,60,74,74
2017-05-08,65526,66,62,70,75
2017-05-09,66278,69,66,77,77
2017-05-10,67350,77,70,78,80
2017-05-11,67538,75,67,76,80
2017-05-12,68222,77,67,77,78
2017-05-15,68474,77,69,79,78
2017-05-16,68684,76,71,78,80
2017-05-17,67540,70,68,75,78
2017-05-18,61597,18,29,54,63
2017-05-19,62639,23,37,64,68
2017-05-22,61673,16,30,53,61
2017-05-23,62662,22,35,58,66
2017-05-24,63257,25,37,62,68
2017-05-25,63227,25,41,61,67
2017-05-26,64085,32,43,64,69
2017-05-29,63761,30,42,63,69
2017-05-30,63962,30,45,63,68
2017-05-31,62711,23,40,59,67
2017-06-01,62289,22,39,57,65
2017-06-02,62511,24,40,58,65
2017-06-05,62450,24,37,53,65
2017-06-06,62955,25,40,60,66
2017-06-07,63171,31,46,61,69
2017-06-08,62756,30,44,58,66
2017-06-09,62211,30,41,53,64
2017-06-12,61700,28,39,53,64
2017-06-13,61829,31,41,54,62
2017-06-14,61923,40,41,55,66
2017-06-15,61626,47,43,56,65
2017-06-16,62014,48,45,56,65
2017-06-19,60766,40,42,53,62
2017-06-20,60762,30,35,48,59
2017-06-21,61272,26,32,45,59
2017-06-22,61087,36,32,49,59
2017-06-23,62188,35,35,51,58
2017-06-26,61675,43,39,50,60
2017-06-27,62018,38,35,47,59
2017-06-28,62239,40,39,49,60
2017-06-29,62900,43,40,52,62
2017-06-30,63280,48,44,53,62
2017-07-03,63232,53,44,54,61
2017-07-04,63154,55,48,54,61
2017-07-05,62470,56,46,53,61
2017-07-06,62322,52,45,49,60
2017-07-07,63025,55,41,51,61
2017-07-10,63832,55,46,51,61
2017-07-11,64836,67,55,53,61
2017-07-12,65178,74,57,58,64
2017-07-13,65436,77,60,59,65
2017-07-14,65212,79,64,61,68
2017-07-17,65338,79,63,62,69
2017-07-18,65180,79,63,62,68
2017-07-19,64938,75,60,59,68
2017-07-20,64684,76,60,60,67
2017-07-21,65100,76,61,59,67
2017-07-24,65668,76,65,61,68
2017-07-25,65011,75,63,60,69
2017-07-26,65277,70,64,60,69
2017-07-27,65497,69,66,61,69
2017-07-28,65920,67,65,61,69
2017-07-31,66516,70,70,61,69
2017-08-01,67136,70,69,61,69
2017-08-02,66777,71,71,63,70
2017-08-03,66898,71,70,66,71
2017-08-04,67940,71,73,63,70
2017-08-07,67899,76,76,67,71
2017-08-08,67671,75,77,66,70
2017-08-09,66992,65,75,62,69
2017-08-10,67359,60,71,60,66
2017-08-11,68285,57,72,61,69
2017-08-14,68355,61,73,61,68
2017-08-15,68594,63,71,63,68
2017-08-16,67977,61,70,61,66
2017-08-17,68715,53,68,60,68
2017-08-18,68635,56,68,61,68
2017-08-21,70011,56,70,60,71
2017-08-22,70478,60,73,65,73
2017-08-23,71133,61,75,66,72
2017-08-24,71074,66,77,67,73
2017-08-25,71017,69,76,72,74
2017-08-28,71330,76,79,73,75
2017-08-29,70886,74,76,73,75
2017-08-30,70835,72,75,72,75
2017-08-31,71923,70,76,72,73
2017-09-01,72129,73,77,75,74
2017-09-04,72151,76,78,75,75
2017-09-05,73412,76,79,78,76
2017-09-06,73079,79,80,80,77
2017-09-07,74319,80,81,81,79
2017-09-08,74539,81,82,80,77
2017-09-11,74788,85,83,83,79
2017-09-12,74657,82,82,82,77
2017-09-13,75757,82,83,83,80
2017-09-14,75990,80,82,83,79
2017-09-15,75974,84,85,85,81
2017-09-18,76004,84,84,84,82
2017-09-19,75604,78,81,84,82
2017-09-20,75390,79,84,82,82
2017-09-21,74443,72,78,80,82
2017-09-22,74319,67,78,82,81
2017-09-25,73797,52,72,77,79
2017-09-26,73567,48,72,76,78
2017-09-27,74294,42,70,75,78
2017-09-28,74360,44,69,75,77
2017-09-29,76763,51,71,76,77
2017-10-02,76591,54,72,77,79
2017-10-03,76618,60,76,78,80
2017-10-04,76055,60,75,77,80
2017-10-05,75727,58,75,78,79
2017-10-06,76897,57,72,78,80
2017-10-09,76660,55,72,77,78
2017-10-10,76990,64,73,78,79
2017-10-11,76892,59,74,77,79
2017-10-12,76201,57,73,79,80
2017-10-13,76591,56,70,77,79
2017-10-16,76283,50,69,76,78
2017-10-17,76391,45,67,75,78
2017-10-18,75413,48,67,74,78
2017-10-19,76350,49,66,73,76
2017-10-20,76671,48,67,75,76
2017-10-23,75896,39,63,74,76
2017-10-24,75976,49,65,74,75
2017-10-25,74800,44,62,74,76
2017-10-26,74308,38,59,72,75
2017-10-27,73824,39,61,73,77
2017-10-30,73915,26,51,69,73
2017-10-31,74311,25,50,68,73
2017-11-01,72415,26,41,67,72
2017-11-02,74363,29,44,69,74
2017-11-03,72931,26,41,67,72
2017-11-06,72166,25,41,67,71
2017-11-07,72475,22,34,59,66
2017-11-08,70827,23,38,66,69
2017-11-09,72512,21,35,63,69
2017-11-10,73437,22,31,60,64
2017-11-13,74595,28,36,57,67
2017-11-14,74519,27,32,54,61
2017-11-15,74487,26,30,55,62
2017-11-16,74157,30,34,57,64
2017-11-17,74059,38,39,59,67
2017-11-20,74140,39,38,59,69
2017-11-21,72700,43,41,61,68
2017-11-22,71971,41,40,60,68
2017-11-23,72264,41,36,61,68
2017-11-24,73090,42,36,62,68
