Ticker, EVA 2025E,Preco Acao, Qtd Ações ,Score G.V
MAHLE Metal Leve S.A (BVMF:LEVE3), "416.995.92", 29.20, "135.539.000.00", 10.54
Plano & Plano Desenvolvimento Imobiliário S.A. (BVMF:PLPL3), "240.936.54", 14.81, "203.901.000.00", 7.98
BB Seguridade Participações S.A. (BVMF:BBSE3), "4.957.520.30", 35.22, "2.000.000.000.00", 7.04
Kepler Weber S.A. (BVMF:KEPL3), "93.614.14", 7.69, "179.700.000.00", 5.94
VALID SOLUÇÕES S.A. (BVMF:VLID3), "105.239.89", 23.34, "81.836.375.00", 5.51
Tegma Gestão Logística S.A. (BVMF:TGMA3), "127.964.03", 35.34, "66.002.915.00", 5.47
Três Tentos Agroindustrial S.A. (BVMF:TTEN3), "321.169.31", 14.05, "499.497.647.00", 4.51
MARCOPOLO S.A. (BVMF:POMO4), "398.977.94", 8.03, "1.136.271.458.00", 4.37
Banco ABC Brasil S.A (BVMF:ABCB4), "217.037.53", 20.98, "244.656.857.00", 4.23
Itaú Unibanco Holding S.A. (BVMF:ITUB4), "14.030.329.38", 34.96, "10.784.548.883.00", 3.72
ENGIE BRASIL ENERGIA S.A. (BVMF:EGIE3), "1.128.096.62", 41.60, "815.927.740.00", 3.32
Companhia de Saneamento Básico do Estado de São Paulo - SABESP (BVMF:SBSP3), "1.774.962.69", 111.63, "683.509.869.00", 2.33
CURY CONSTRUTORA E INCORPORADORA S.A. (BVMF:CURY3), "149.476.81", 29.75, "297.585.088.00", 2.07
Vulcabras S/A (BVMF:VULC3), "89.845.41", 20.20, "275.536.244.00", 1.67
JSL S.A. (BVMF:JSLG3), "18.582.87", 5.60, "286.431.078.00", 1.16
BCO SANTANDER UNT (BVMF:SANB11), "2.391.935.74", 27.75, "7.498.531.051.00", 1.15
TRANSMISSORA ALIANÇA UNT (BVMF:TAEE11), "359.504.92", 34.04, "1.033.496.721.00", 1.02
WEG S.A. (BVMF:WEGE3), "1.669.787.11", 39.45, "4.197.317.998.00", 1.00
Multiplan Empreendimentos Imobiliários S.A. (BVMF:MULT3), "114.295.08", 25.90, "513.163.701.00", 0.86
Sendas Distribuidora S.A. (BVMF:ASAI3), "115.491.84", 9.98, "1.352.245.185.00", 0.82
B3 S.A. (BVMF:B3SA3),"529.875.30",12.97,"5.266.500.000.00", 0.79
ULTRAPAR PARTICIPAÇÕES S.A. (BVMF:UGPA3), "1.146.507.18", 17.10, "1.514.300.000.00", 0.58
Banco do Brasil S.A. (BVMF:BBAS3), "646.326.70", 21.20, "5.730.844.040.00", 0.37
BCO BTG PACTUAL UNT (BVMF:BPAC11), "2.454.788.44", 40.83, "11.506.119.928.00", 0.25
Companhia Energética de Minas Gerais - CEMIG (BVMF:CMIG4), "96.974.72", 10.80, "2.861.781.895.00", 0.19
FRAS-LE S.A. (BVMF:FRAS3), "1.456.20", 23.91, "270.016.343.00", 0.02

